28 136
7 26 14
25 27 8
8 11 12
19 24 3
8 19 5
19 27 5
18 22 4
13 23 2
11 12 17
8 26 2
3 24 20
12 22 12
19 25 11
19 21 14
6 7 13
2 7 18
9 15 21
4 18 2
13 15 18
11 26 14
13 22 4
11 22 5
10 17 6
3 7 16
6 14 2
2 16 13
18 21 7
8 10 13
2 22 12
8 27 19
17 25 17
14 22 9
1 26 20
18 19 5
5 17 5
6 25 5
3 5 11
13 19 20
4 28 8
13 21 2
2 13 12
2 10 17
10 16 1
3 11 8
7 24 10
1 25 5
11 23 13
2 27 16
8 24 13
22 27 20
15 19 6
12 21 3
19 26 10
21 27 18
8 18 9
4 21 11
9 16 20
14 24 16
1 10 18
14 23 11
7 13 20
8 12 18
4 27 10
9 18 5
10 25 5
3 18 14
7 9 16
16 23 20
2 26 7
12 17 5
10 21 11
3 26 18
9 24 17
8 17 1
11 21 16
5 24 2
1 2 17
8 28 18
20 22 21
15 25 6
9 23 19
22 23 13
5 20 20
5 13 14
6 18 20
14 20 3
2 21 1
4 17 21
7 20 14
17 26 7
5 6 20
3 20 6
2 23 21
5 23 2
3 8 16
9 19 12
4 13 1
16 19 9
14 25 21
14 27 19
4 15 13
21 23 9
15 18 2
7 17 10
1 7 16
3 9 3
8 15 4
26 28 15
6 10 19
21 28 4
16 25 11
14 15 3
9 17 2
7 18 3
7 8 15
3 25 20
7 12 1
1 8 16
11 19 12
8 14 9
2 12 15
7 14 1
2 4 13
8 25 10
5 16 4
23 26 18
1 15 13
1 22 17
10 12 4
1 4 15
2 3 21
11 17 17
12 18 7
7 23 13
19 23 1
4 22 16
