100 4950
1 4 31
1 5 88
1 6 418
1 7 132
1 8 397
1 9 180
1 10 270
1 11 182
1 12 399
1 13 388
1 14 301
1 15 327
1 16 26
1 17 432
1 18 374
1 19 252
1 20 62
1 21 230
1 22 436
1 23 63
1 24 443
1 25 342
1 26 86
1 27 477
1 28 1
1 29 209
1 30 454
1 31 201
1 32 396
1 33 194
1 34 433
1 35 264
1 36 9
1 37 163
1 38 288
1 39 105
1 40 178
1 41 44
1 42 97
1 43 211
1 44 444
1 45 469
1 46 335
1 47 450
1 48 161
1 49 498
1 50 115
1 51 373
1 52 409
1 53 287
1 54 162
1 55 73
1 56 294
1 57 269
1 58 460
1 59 65
1 60 197
1 61 396
1 62 180
1 63 32
1 64 254
1 65 182
1 66 469
1 67 2
1 68 427
1 69 447
1 70 260
1 71 399
1 72 324
1 73 269
1 74 51
1 75 395
1 76 273
1 77 226
1 78 426
1 79 370
1 80 176
1 81 344
1 82 80
1 83 258
1 84 250
1 85 458
1 86 317
1 87 359
1 88 275
1 89 45
1 90 407
1 91 224
1 92 271
1 93 98
1 94 84
1 95 287
1 96 138
1 97 45
1 98 268
1 99 366
1 100 19
2 3 488
2 4 383
2 5 138
2 6 411
2 7 140
2 8 307
2 9 383
2 10 295
2 11 383
2 12 37
2 13 255
2 14 94
2 15 197
2 16 208
2 17 117
2 18 372
2 19 90
2 20 123
2 21 259
2 22 202
2 23 28
2 24 498
2 25 203
2 26 243
2 27 40
2 28 81
2 29 162
2 30 131
2 31 408
2 32 217
2 33 239
2 34 433
2 35 289
2 36 404
2 37 287
2 38 350
2 39 268
2 40 484
2 41 497
2 42 319
2 43 41
2 44 50
2 45 318
2 46 190
2 47 151
2 48 108
2 49 132
2 50 485
2 51 172
2 52 221
2 53 116
2 54 446
2 55 496
2 56 27
2 57 332
2 58 165
2 59 262
2 60 405
2 61 93
2 62 133
2 63 54
2 64 157
2 65 265
2 66 309
2 67 205
2 68 244
2 69 497
2 70 409
2 71 470
2 72 82
2 73 195
2 74 318
2 75 377
2 76 89
2 77 77
2 78 80
2 79 22
2 80 174
2 81 338
2 82 31
2 83 230
2 84 429
2 85 441
2 86 54
2 87 275
2 88 409
2 89 482
2 90 372
2 91 339
2 92 166
2 93 314
2 94 344
2 95 351
2 96 48
2 97 48
2 98 94
2 99 162
2 100 88
3 4 177
3 5 368
3 6 334
3 7 321
3 8 108
3 9 296
3 10 129
3 11 323
3 12 118
3 13 445
3 14 380
3 15 320
3 16 135
3 17 37
3 18 469
3 19 483
3 20 321
3 21 42
3 22 27
3 23 458
3 24 164
3 25 47
3 26 366
3 27 232
3 28 316
3 29 352
3 30 15
3 31 246
3 32 292
3 33 157
3 34 149
3 35 366
3 36 133
3 37 400
3 38 205
3 39 428
3 40 367
3 41 249
3 42 127
3 43 411
3 44 489
3 45 159
3 46 432
3 47 102
3 48 161
3 49 379
3 50 497
3 51 79
3 52 28
3 53 260
3 54 132
3 55 290
3 56 254
3 57 256
3 58 203
3 59 222
3 60 182
3 61 127
3 62 226
3 63 52
3 64 316
3 65 414
3 66 276
3 67 344
3 68 447
3 69 83
3 70 234
3 71 308
3 72 26
3 73 225
3 74 237
3 75 485
3 76 49
3 77 107
3 78 280
3 79 495
3 80 17
3 81 25
3 82 263
3 83 394
3 84 76
3 85 100
3 86 251
3 87 267
3 88 1
3 89 276
3 90 23
3 91 385
3 92 74
3 93 131
3 94 238
3 95 289
3 96 185
3 97 494
3 98 444
3 99 482
3 100 186
4 5 74
4 6 197
4 7 478
4 8 221
4 9 439
4 10 338
4 11 30
4 12 256
4 13 295
4 14 278
4 15 335
4 16 96
4 17 400
4 18 104
4 19 232
4 20 62
4 21 128
4 22 337
4 23 360
4 24 155
4 25 180
4 26 402
4 27 27
4 28 444
4 29 157
4 30 252
4 31 291
4 32 357
4 33 102
4 34 71
4 35 133
4 36 353
4 37 328
4 38 66
4 39 281
4 40 363
4 41 464
4 42 49
4 43 429
4 44 242
4 45 468
4 46 2
4 47 319
4 48 148
4 49 240
4 50 200
4 51 360
4 52 133
4 53 356
4 54 482
4 55 272
4 56 196
4 57 163
4 58 371
4 59 371
4 60 399
4 61 430
4 62 235
4 63 195
4 64 26
4 65 130
4 66 222
4 67 9
4 68 400
4 69 395
4 70 184
4 71 113
4 72 205
4 73 9
4 74 45
4 75 297
4 76 199
4 77 443
4 78 101
4 79 37
4 80 259
4 81 76
4 82 383
4 83 319
4 84 208
4 85 402
4 86 63
4 87 115
4 88 469
4 89 286
4 90 457
4 91 315
4 92 120
4 93 397
4 94 77
4 95 128
4 96 136
4 97 141
4 98 401
4 99 102
4 100 431
5 6 148
5 7 83
5 8 76
5 9 168
5 10 384
5 11 460
5 12 200
5 13 284
5 14 106
5 15 241
5 16 104
5 17 381
5 18 67
5 19 461
5 20 500
5 21 3
5 22 286
5 23 402
5 24 434
5 25 495
5 26 167
5 27 282
5 28 28
5 29 220
5 30 45
5 31 38
5 32 55
5 33 477
5 34 479
5 35 280
5 36 461
5 37 327
5 38 179
5 39 181
5 40 369
5 41 49
5 42 367
5 43 138
5 44 224
5 45 433
5 46 152
5 47 346
5 48 277
5 49 160
5 50 324
5 51 218
5 52 54
5 53 282
5 54 283
5 55 383
5 56 363
5 57 184
5 58 354
5 59 26
5 60 199
5 61 156
5 62 94
5 63 490
5 64 291
5 65 394
5 66 137
5 67 1
5 68 6
5 69 44
5 70 17
5 71 222
5 72 335
5 73 22
5 74 8
5 75 253
5 76 285
5 77 221
5 78 352
5 79 224
5 80 346
5 81 198
5 82 475
5 83 94
5 84 163
5 85 200
5 86 46
5 87 112
5 88 369
5 89 243
5 90 249
5 91 457
5 92 284
5 93 455
5 94 460
5 95 172
5 96 332
5 97 99
5 98 439
5 99 337
5 100 475
6 7 27
6 8 149
6 9 330
6 10 63
6 11 394
6 12 413
6 13 185
6 14 264
6 15 155
6 16 100
6 17 97
6 18 247
6 19 499
6 20 284
6 21 499
6 22 64
6 23 255
6 24 13
6 25 478
6 26 299
6 27 466
6 28 145
6 29 245
6 30 434
6 31 70
6 32 222
6 33 48
6 34 236
6 35 270
6 36 452
6 37 392
6 38 346
6 39 58
6 40 6
6 41 293
6 42 388
6 43 485
6 44 177
6 45 336
6 46 265
6 47 464
6 48 233
6 49 94
6 50 166
6 51 196
6 52 354
6 53 185
6 54 172
6 55 104
6 56 53
6 57 165
6 58 338
6 59 423
6 60 191
6 61 101
6 62 47
6 63 148
6 64 178
6 65 43
6 66 475
6 67 1
6 68 416
6 69 109
6 70 448
6 71 461
6 72 6
6 73 303
6 74 239
6 75 201
6 76 85
6 77 254
6 78 296
6 79 323
6 80 207
6 81 20
6 82 172
6 83 379
6 84 84
6 85 300
6 86 6
6 87 126
6 88 86
6 89 24
6 90 207
6 91 360
6 92 28
6 93 137
6 94 495
6 95 472
6 96 414
6 97 191
6 98 63
6 99 464
6 100 382
7 8 300
7 9 17
7 10 115
7 11 446
7 12 137
7 13 418
7 14 428
7 15 453
7 16 92
7 17 186
7 18 408
7 19 270
7 20 89
7 21 133
7 22 4
7 23 160
7 24 342
7 25 215
7 26 86
7 27 368
7 28 432
7 29 165
7 30 358
7 31 91
7 32 464
7 33 285
7 34 217
7 35 80
7 36 378
7 37 152
7 38 123
7 39 355
7 40 400
7 41 407
7 42 208
7 43 396
7 44 453
7 45 281
7 46 117
7 47 316
7 48 134
7 49 253
7 50 475
7 51 131
7 52 353
7 53 288
7 54 494
7 55 342
7 56 434
7 57 62
